Entered file!
Imports done!
*** RUN *** 
chain_1cB
** Loading results csv
*** Analysing case 0
{'chain_gold_precision_source': 0.0, 'chain_recall_target': 0.0, 'chain_pegasus_precision_source': 0.6, 'chain_precision_target': 0.0, 'chain_f1_target': 0}
*** Analysing case 1
{'chain_gold_precision_source': 0.7272727272727273, 'chain_recall_target': 0.36363636363636365, 'chain_pegasus_precision_source': 0.7692307692307693, 'chain_precision_target': 0.3076923076923077, 'chain_f1_target': 0.33333333333333337}
*** Analysing case 2
{'chain_gold_precision_source': 0.6666666666666666, 'chain_recall_target': 0.6666666666666666, 'chain_pegasus_precision_source': 0.8333333333333334, 'chain_precision_target': 0.16666666666666666, 'chain_f1_target': 0.26666666666666666}
*** Analysing case 3
{'chain_gold_precision_source': 1.0, 'chain_recall_target': 0.0, 'chain_pegasus_precision_source': 0.3333333333333333, 'chain_precision_target': 0.0, 'chain_f1_target': 0}
*** Analysing case 4
{'chain_gold_precision_source': 0.6923076923076923, 'chain_recall_target': 0.5384615384615384, 'chain_pegasus_precision_source': 0.8461538461538461, 'chain_precision_target': 0.46153846153846156, 'chain_f1_target': 0.4970414201183432}
*** Analysing case 5
{'chain_gold_precision_source': 0.3333333333333333, 'chain_recall_target': 0.16666666666666666, 'chain_pegasus_precision_source': 0.8461538461538461, 'chain_precision_target': 0.07692307692307693, 'chain_f1_target': 0.10526315789473684}
*** Analysing case 6
{'chain_gold_precision_source': 0.3333333333333333, 'chain_recall_target': 0.3333333333333333, 'chain_pegasus_precision_source': 1.0, 'chain_precision_target': 0.2222222222222222, 'chain_f1_target': 0.26666666666666666}
*** Analysing case 7
{'chain_gold_precision_source': 0.5, 'chain_recall_target': 0.0, 'chain_pegasus_precision_source': 1.0, 'chain_precision_target': 0.0, 'chain_f1_target': 0}
*** Analysing case 8
{'chain_gold_precision_source': 0.5454545454545454, 'chain_recall_target': 0.2727272727272727, 'chain_pegasus_precision_source': 0.7142857142857143, 'chain_precision_target': 0.42857142857142855, 'chain_f1_target': 0.33333333333333326}
*** Analysing case 9
{'chain_gold_precision_source': 0.7777777777777778, 'chain_recall_target': 0.5555555555555556, 'chain_pegasus_precision_source': 1.0, 'chain_precision_target': 0.46153846153846156, 'chain_f1_target': 0.504201680672269}
*** Analysing case 10
{'chain_gold_precision_source': 0.5384615384615384, 'chain_recall_target': 0.15384615384615385, 'chain_pegasus_precision_source': 0.7, 'chain_precision_target': 0.2, 'chain_f1_target': 0.17391304347826086}
*** Analysing case 11
{'chain_gold_precision_source': 0.7142857142857143, 'chain_recall_target': 0.42857142857142855, 'chain_pegasus_precision_source': 0.8333333333333334, 'chain_precision_target': 0.6666666666666666, 'chain_f1_target': 0.5217391304347826}
*** Analysing case 12
{'chain_gold_precision_source': 0.6, 'chain_recall_target': 0.4, 'chain_pegasus_precision_source': 0.9090909090909091, 'chain_precision_target': 0.18181818181818182, 'chain_f1_target': 0.25000000000000006}
*** Analysing case 13
{'chain_gold_precision_source': 0.6666666666666666, 'chain_recall_target': 0.5, 'chain_pegasus_precision_source': 0.75, 'chain_precision_target': 0.375, 'chain_f1_target': 0.42857142857142855}
*** Analysing case 14
{'chain_gold_precision_source': 0.15384615384615385, 'chain_recall_target': 0.15384615384615385, 'chain_pegasus_precision_source': 0.75, 'chain_precision_target': 0.5, 'chain_f1_target': 0.23529411764705882}
*** Analysing case 15
{'chain_gold_precision_source': 0.5, 'chain_recall_target': 0.5, 'chain_pegasus_precision_source': 0.6666666666666666, 'chain_precision_target': 0.08333333333333333, 'chain_f1_target': 0.14285714285714285}
*** Analysing case 16
