,gold_sents,pegasus_output_sents,oreo_pegasus_output_sents
0,"The plaintiffs filed a lawsuit on March 8, 2014, alleging that the City of Montgomery, Alabama, improperly imprisoned them for failing to pay traffic fines.[SENTMARKER]They alleged that they did not have an ability to pay the fines due to their financial circumstances and that the city did not consider their ability to pay.[SENTMARKER]On May 1, 2014, the District Court granted the plaintiffs motion for a preliminary injunction, preventing the city from collecting more money from traffic tickets of plaintiffs'.[SENTMARKER]On October 31, 2014 the parties filed to dismiss the case pursuant to a settlement agreement, which included numerous changes to Municipal Court proceedings.[SENTMARKER]The case is now closed.","The plaintiffs filed this lawsuit in the U.S. District Court for the Middle District of Alabama against the City of Montgomery and Judicial Correction Services, Inc. (JCS), a private for-profit corporation.[SENTMARKER]The plaintiffs alleged that the defendants violated their due process rights by using a private actor with a personal financial stake in the judicial enforcement proceedings.[SENTMARKER]The parties agreed to dismiss the case with prejudice, and the case is closed.","On January 26, 2014, a woman and her two children filed this lawsuit against the City of Montgomery, Alabama in the U.S. District Court for the Middle District of Alabama.[SENTMARKER]The plaintiffs alleged that the City was violating their constitutional rights by jailing them for non-payment of debts owed to the City for traffic tickets or minor offenses.[SENTMARKER]The City's policy is to assess fines, costs, surcharges, and additional fees upon a finding of a traffic violation.[SENTMARKER]The Plaintiffs sought declaratory and injunctive relief based on the City’s failure to conduct any inquiry into their ability to pay prior to jailing their plaintiffs.[SENTMARKER]The Court ordered the City to comply with the following provisions in the settlement agreement: payment of debts from traffic tickets; payment of fines and court costs; and the release of the plaintiffs from jail."
1,"In 2013, indigent detainee filed a complaint against the City of Montgomery and a Municipal Court Judge for unconstitutionally ordering the petitioner to serve time for her inability to pay court-order fines and fees for their traffic violations.[SENTMARKER]The complaint was originally filed in the Circuit Court of Montgomery County, Alabama and then transferred to the U.S. District Court for the Middle District of Alabama, where it was consolidated with a similar case.[SENTMARKER]In the amended complaint, petitioners alleged that the imprisonment orders violated their Sixth and Fourteenth Amendment Rights.[SENTMARKER]Petitioners sought remedy through injunctive and declaratory relief.[SENTMARKER]In 2014, the parties reached a settlement that provided new judicial procedures for the Municipal Court to follow regarding indigent defendants and nonpayment.[SENTMARKER]It also included three declarations, most importantly, it declared that the constitutional principles set out in Bearden v. Georgia, 461 U.S. 660 (1983), and Turner v. Rogers, 131 S. Ct. 2507 (2011) applied to municipal court proceedings, and awarded plaintiff's attorney fees.[SENTMARKER]The case closed in November 2014.","On August 28, 2013, Harriet Delores Cleveland filed this lawsuit in the U.S. District Court for the Middle District of Alabama against the City of Montgomery and other defendants.[SENTMARKER]She alleged that the defendants were violating her constitutional rights to due process, equal protection, and due process.[SENTMARKER]The defendants agreed to stay the orders of incarceration and the collection of all amounts owed by Plaintiffs during the course of this federal litigation.[SENTMARKER]The parties then filed amended complaints seeking declaratory relief and attorneys’ fees and costs.[SENTMARKER]The case was consolidated and the parties entered a settlement agreement in November 2014.[SENTMARKER]The parties agreed that the case should be closed as of December 31, 2014.","On August 28, 2013, a woman filed this suit in the U.S. District Court for the Middle District of Alabama against the City of Montgomery and the Judges of the Montgomery Municipal Court.[SENTMARKER]The plaintiff alleged that the defendants' policies and practices of incarceration for non-payment of fines and court costs violated her constitutional rights.[SENTMARKER]The parties agreed to a stay of the municipal-court orders of incarceration and the collection of outstanding debts pending discovery in this matter.[SENTMARKER]In November 2014, the parties entered an Agreed Settlement Order."
2,"A prisoner facing the death penalty in Arkansas sued over the form of lethal injection used by the state.[SENTMARKER]The case was dismissed because of a lack of evidence that Arkansas's use of lethal injections subjected prisoners to a significant risk of pain.[SENTMARKER]The case is closed, and one of the three plaintiffs was executed in 2017.","On March 15, 2007, three Arkansas death row inmates filed this lawsuit in the U.S. District Court for the Eastern District of Arkansas against the Arkansas Department of Correction.[SENTMARKER]The plaintiffs alleged that the state's lethal injection protocol violated the Eighth Amendment's ban on cruel and unusual punishment.[SENTMARKER]The district court denied the defendants' motion for summary judgment.[SENTMARKER]On November 9, 2007, the district court stayed the case pending the Supreme Court's decision in Baze v. Kentucky.[SENTMARKER]The Supreme Court issued its decision in the case on April 16, 2008.","On May 1, 2006, three Arkansas death row inmates filed a lawsuit in the U.S. District Court for the Eastern District of Arkansas challenging the state's three-chemical lethal injection protocol.[SENTMARKER]The plaintiffs alleged that the protocol creates a significant risk of inflicting severe pain in the administration of the death sentence.[SENTMARKER]The court granted summary judgment in favor of the defendants.[SENTMARKER]The case is now closed."
3,"On August 23, 2018, three Maricopa County, Arizona residents who have been referred to Maricopa County's Marijuana Diversion program filed this class action lawsuit in the U.S. District Court for the District of Arizona, Phoenix Division.[SENTMARKER]The plaintiffs sought injunctive and monetary relief, claiming that the Maricopa County Attorney's Office and Treatment Assessment Screening Center jointly operated a marijuana possession diversion program that discriminated against the poor in violation of the Fourteenth Amendment, and led to unreasonable search and seizure in violation of the Fourth and Fourteenth Amendments.[SENTMARKER]The plaintiffs amended their complaint twice to include new named plaintiffs for the class.[SENTMARKER]The District Court denied the defendant's motions to dismiss the complaint, and discovery is ongoing both for class certification and the underlying claims.","In November 2016, a group of residents of Maricopa County, Arizona filed a class action lawsuit in the U.S. District Court for the District of Arizona against the Maricopa County Attorney's Office (MCAO) and the Treatment 23 Assessment Screening Center (TASC) for their joint operation of a marijuana diversion program that penalizes the poor because of their poverty.[SENTMARKER]The plaintiffs alleged that the defendants' program violated their constitutional rights by imposing unconstitutional penalties on them based solely on their wealth status.[SENTMARKER]The court granted the plaintiffs' motion for summary judgment, and the case is now closed.","On August 23, 2018, a group of residents of Maricopa County, Arizona filed a class action lawsuit in the U.S. District Court for the District of Arizona.[SENTMARKER]The plaintiffs alleged that the defendants violated the Fourteenth Amendment by denying them access to the MCAO and TASC marijuana diversion program.[SENTMARKER]The district court denied the defendants' motion to dismiss, and the case moved for class certification.[SENTMARKER]The 9th Cir.[SENTMARKER]Court of Appeals denied the motion for injunctive relief.[SENTMARKER]The case is now closed."
4,"On March 8, 2006, the Pacific News Service filed a lawsuit under 42 U.S.C. § 1983 against the California Department of Corrections in the U.S. District Court for the Northern District of California.[SENTMARKER]The plaintiffs asked the court for declaratory and injunctive relief, alleging that the defendants had violated the constitutional rights of the press and the public to attend, meaningfully observe, and gather and report on important information at executions being carried out by the defendants at the California State Prison at San Quentin.[SENTMARKER]On May 30, 2013, the issue in this case became moot due to a state court decision.[SENTMARKER]In Sims v. California Department of Corrections and Rehabilitation (CDCR), the California Court of Appeals held that CDCR’s lethal injection regulations were invalid for failure to comply with the APA.[SENTMARKER]The court permanently enjoined CDCR from carrying out the execution of any condemned inmate by lethal injection until their new regulations complied with the Administrative Procedure Act.[SENTMARKER]This case closed after a voluntary dismissal filed by the plaintiff organization.","On January 18, 2006, Pacific News Service filed this suit in the U.S. District Court for the Northern District of California against the California Department of Corrections and Rehabilitation, the San Quentin State Prison, and the warden of San Quentin Prison.[SENTMARKER]The suit alleged that San Quentin's lethal injection protocol violated the First Amendment right of the press and the public to attend, meanngfully witness, gather important information at, and report on executions.[SENTMARKER]The court dismissed the suit without prejudice.[SENTMARKER]The case was closed on February 13, 2006.","In 2006, Pacific News Service filed this lawsuit in the U.S. District Court for the Northern District of California against the California Department of Corrections and Rehabilitation, the California State Prison at San Quentin, and the California Governor's Office.[SENTMARKER]The media organization claimed that the state's lethal injection protocol violated the First and Fourteenth Amendments of the United States Constitution.[SENTMARKER]Specifically, the plaintiffs alleged that the three-drug combination of sodium pentothal, a barbituate, and pancuronium bromide would cause the inmate to be unconscious and therefore unable to expenence pain.[SENTMARKER]The case was dismissed on December 12, 2006."
5,"This civil rights class action was filed in 2012 in the Eastern District of California; it alleged due process violations when the state arbitrarily denied parole to nearly all lifers who had served their minimum sentence.[SENTMARKER]On October 2, 2015, the parties entered into an agreement by which the defendants agreed to make changes to the psychological risk assessment processes used by the parole board.[SENTMARKER]The Court approved the settlement in May 2016, and retained jurisdiction over the case until January 1, 2017, with the plaintiffs' able to get an extension of the Court's jurisdiction if the defendants fail to abide by the agreed upon terms.[SENTMARKER]In February of 2019, the court issued an order stating that the defendants had complied with the order.[SENTMARKER]The case is now closed.","On April 20, 2012, a class action lawsuit was filed in the U.S. District Court for the Eastern District of California against the California Board of Parole Hearings (Board) and the California Department of Corrections and Rehabilitation.[SENTMARKER]The plaintiffs alleged that the Board's forensic assessment protocols for the preparation of psychological evaluations to be considered in determining the suitability of 26 class members for parole were unconstitutional.[SENTMARKER]The parties reached a settlement agreement on July 17, 2015.[SENTMARKER]The parties have jointly moved the court to approve the settlement agreement, 18 which was reached after “extensive arms-length negotiation”.[SENTMARKER]The parties will not oppose a motion for reasonable attorney's fees and costs that does not exceed $120,000.","On April 20, 2012, a class action lawsuit was filed in the U.S. District Court for the Eastern District of California against the California Board of Parole Hearings (Board) and the Forensic Assessment Division (FAD) for the use of psychological evaluations to be considered in determining the suitability of 26 class members for parole.[SENTMARKER]The plaintiffs alleged that the FAD's use of the three risk assessment tools for the evaluation of suitability of life inmates for parole violated the due process and equal protection clauses of the Fourteenth Amendment and the California Constitution.[SENTMARKER]The court granted the plaintiffs' motion for preliminary approval of the settlement agreement on May 26, 2016.[SENTMARKER]The parties disagree about the reliability of the instruments for use with California’s life 26 inmate population.[SENTMARKER]The parties agreed to a process regarding the distribution of the order to the plaintiff class."
6,"In October 2018, a plaintiff sued Denver over its bond fee requirement.[SENTMARKER]Within a few months, the defendants changed their policy and submitted an Offer of Judgment.[SENTMARKER]The case is now closed.","Plaintiff filed this civil rights action in the U.S. District Court for the District of Colorado against the City and County of Denver, Colorado, and the Denver County Sheriff's Office.[SENTMARKER]The plaintiff alleged that Denver's policy and practice of requiring the defendant to pay a bond fee in order to secure release from jail was unconstitutional and violated his rights to life, liberty, and property under the Fourteenth Amendment.[SENTMARKER]The court dismissed the case.[SENTMARKER]The case was remanded to the Colorado Supreme Court.","The ACLU of Colorado filed this lawsuit against the City and County of Denver, Colorado, in the United States District Court for the District of Colorado.[SENTMARKER]The complaint alleged that Denver's policy and practice of taking defendants' money as a bond fee was unconstitutional and violated the Fourteenth Amendment right to due process and equal protection under the law.[SENTMARKER]The case was dismissed on January 2, 2019 by Judge Scott Varholak."
7,"In 2012, U.S. District Court of D.C. found that the policy of seizing and retaining private vehicles pending civil forfeiture proceedings without providing a post-deprivation hearing was unconstitutional.","On May 1, 2012, a Washington, D.C. resident filed this lawsuit against the District of Columbia, seeking declaratory and injunctive relief for his right to due process under the Fifth Amendment to the U.S. Constitution.[SENTMARKER]The plaintiff's complaint alleged that the District's policy that forces indigent property owners to pay a ""penal sum"" before even being able to commence the legal process to challenge the police seizure of their property violates his constitutionally-protected due process rights.[SENTMARKER]The District agreed to dismiss the case with prejudice, and each party will bear its own costs and attorneys' fees.","In 2010, a private citizen filed this lawsuit in the U.S. District Court for the District of Columbia against the Mayor of Washington, D.C., the Chief of Police of the Metropolitan Police Department, and the Mayor's office.[SENTMARKER]The plaintiff alleged that the MPD's policy of seizing private vehicles and retaining them indefinitely pending potential civil forfeiture proceedings violated his constitutional rights.[SENTMARKER]The District Court granted the plaintiff's motion for injunctive and declaratory relief.[SENTMARKER]The Supreme Court held that the District's forfeiture policy did not violate the plaintiffs' due process rights, but the case was closed."
8,"On May 23, 2018, four individuals who had been ticketed or threatened to be ticketed by the City of Doraville filed this lawsuit in U.S. District Court for the Northern District of Georgia.[SENTMARKER]The case was assigned to Judge Richard W. Story.[SENTMARKER]Represented by Strickland Brockington Lewis, LLP, and the Institute for Justice, the plaintiffs sued the City of Doraville under 42 U.S.C. Section 1983 and the Declaratory Judgments Act.[SENTMARKER]The plaintiffs alleged that the city’s policy and practice of using its law enforcement and municipal court system for revenue generation violated the plaintiffs' due process rights.[SENTMARKER]The plaintiffs sought declarative and injunctive relief from Doraville’s policy and practice of budgeting to receive revenues from fines and fees.[SENTMARKER]The defendant sought to dismiss the case on July 2, 2018; the court denied the motion to dismiss on July 9, 2019.[SENTMARKER]This case is ongoing.","In August 2016, a group of residents of Doraville, Georgia, filed a lawsuit in the U.S. District Court for the Northern District of Georgia against the City, alleging that the City's practice of including projected revenue from fines, fees, and forfeitures in its municipal budget violated the Fourteenth Amendment due process rights of the plaintiffs.[SENTMARKER]The plaintiffs alleged that by relying on its municipal courts, prosecutors, and law enforcement officers to generate revenue, Doraville has created impermissible financial incentives for those civil servants, thus violating the Due Process Clause of the 14th Amendment.[SENTMARKER]On April 1, 2019, the Court denied Doraville's motion to dismiss, finding that it did indeed have jurisdiction.[SENTMARKER]The Court then granted the plaintiffs' reconsideration (sua sponte) on the Rule 12(b)(6) portion of the motion, and granted oral argument on June 4, 2019.","On July 6, 2018, four residents of Doraville, Georgia filed this lawsuit in the U.S. District Court for the Northern District of Georgia.[SENTMARKER]The plaintiffs alleged that the city's policy and practice of budgeting for fines, fees, and forfeitures revenue, and vigorously ticketing and convicting both residents and passers-through in order to raise revenue, violated the Fourteenth Amendment due process clause.[SENTMARKER]The case is now before the Court of Appeals for the 11th Circuit.[SENTMARKER]On July 30, 2018, the Court granted the defendants' motion to dismiss."
9,"On May 22, 2012, several national and local news agencies filed a § 1983 lawsuit against the state of Idaho, alleging that the policy of the Idaho Department of Correction to prohibit public viewing of the preparatory phase of the execution process, during which the inmate is restrained and the IV is inserted, violates the First Amendment right to free speech and the Fourteenth Amendment right to due process.[SENTMARKER]The District Court denied plaintiffs' motion for a preliminary injunction on June 5, 2012, but the Ninth Circuit reversed the denial, on June 8, in time for the injunction to apply to the scheduled execution of Richard Leavitt.[SENTMARKER]On July 10, the District Court entered a permanent injunction ordering the Idaho Department of Corrections to modify their execution procedures to allow witnesses to the execution throughout the entire execution process.","On May 22, 2012, the Idaho Statesman, The Times-Tribune, and The Spokesman Review filed this lawsuit in the U.S. District Court for the District of Idaho against the Idaho Department of Correction (IDOC) seeking a preliminary injunction, a permanent injunction, and declaratory relief in response to alleged First Amendment violations by the IDOC via the procedures or protocol used by IDOC for death penalty executions.[SENTMARKER]The defendants filed their response to the motion on May 29, 2012 and a supplement on May 30, 2012.[SENTMARKER]The parties entered into a Stipulation on May 23, 2012 which requested that the parties participate in mediation with Chief United States Magistrate Judge Candy W Dale.[SENTMARKER]The court granted the request for expedited briefing and ordered the parties to participate in the mediation.[SENTMARKER]The case was dismissed on July 10, 2012.","On May 22, 2012, the plaintiffs filed this lawsuit in the U.S. District Court for the District of Idaho against the Idaho Department of Corrections (IDOC) seeking a preliminary injunction, a permanent injunction and declaratory relief in response to alleged First Amendment violations by the IDOC via the procedures or protocol used by IDOC for death penalty executions.[SENTMARKER]On July 10, 2012, the Court granted the plaintiffs' motion for preliminary injunction and granted their motion for permanent injunction.[SENTMARKER]The parties agreed to modify their procedures to allow the witnesses to the execution of a condemned inmate to observe the entire execution from the moment the inmate enters the execution chamber through, to and including, the time the inmate is declared dead.[SENTMARKER]The case is closed."
