,gold_sents,pegasus_output_sents
0,"The plaintiffs filed a lawsuit on March 8, 2014, alleging that the City of Montgomery, Alabama, improperly imprisoned them for failing to pay traffic fines.[SENTMARKER]They alleged that they did not have an ability to pay the fines due to their financial circumstances and that the city did not consider their ability to pay.[SENTMARKER]On May 1, 2014, the District Court granted the plaintiffs motion for a preliminary injunction, preventing the city from collecting more money from traffic tickets of plaintiffs'.[SENTMARKER]On October 31, 2014 the parties filed to dismiss the case pursuant to a settlement agreement, which included numerous changes to Municipal Court proceedings.[SENTMARKER]The case is now closed.","On November 17, 2014, the City of Montgomery and Judicial Correction Services, Inc. (""JCS, Inc""), a private for-profit corporation, entered into an agreement to settle a class-wide civil rights action brought against the City by people who were jailed by the City because they could not afford to pay a debt owed to the City from traffic tickets.[SENTMARKER]The parties entered into the agreement to end the practice of charging appeal bonds to those who could not pay the debt, which violated the due process and equal protection provisions of the Fourteenth Amendment to the United States Constitution.[SENTMARKER]The agreement, which was entered into by Judge Myron H. Thompson of the Middle district of Alabama, was finalized on November 17, 2014.[SENTMARKER]The parties agreed that the defendants would not charge appeal bonds, would not jail people when they couldn't pay their debt, and that no one would be jailed again in the future for the inability to pay.[SENTMARKER]The defendants also agreed to refund their fines, and Judge Thompson resigned to be effective within 90 days.[SENTMARKER]The case was dismissed with prejudice."
1,"In 2013, indigent detainee filed a complaint against the City of Montgomery and a Municipal Court Judge for unconstitutionally ordering the petitioner to serve time for her inability to pay court-order fines and fees for their traffic violations.[SENTMARKER]The complaint was originally filed in the Circuit Court of Montgomery County, Alabama and then transferred to the U.S. District Court for the Middle District of Alabama, where it was consolidated with a similar case.[SENTMARKER]In the amended complaint, petitioners alleged that the imprisonment orders violated their Sixth and Fourteenth Amendment Rights.[SENTMARKER]Petitioners sought remedy through injunctive and declaratory relief.[SENTMARKER]In 2014, the parties reached a settlement that provided new judicial procedures for the Municipal Court to follow regarding indigent defendants and nonpayment.[SENTMARKER]It also included three declarations, most importantly, it declared that the constitutional principles set out in Bearden v. Georgia, 461 U.S. 660 (1983), and Turner v. Rogers, 131 S. Ct. 2507 (2011) applied to municipal court proceedings, and awarded plaintiff's attorney fees.[SENTMARKER]The case closed in November 2014.","On August 28, 2013, a woman who was unable to pay traffic tickets filed this suit in the Circuit Court of Montgomery County against the City of Montgomery and Judicial Correction Services, a private probation company.[SENTMARKER]She alleged that the defendants violated her constitutional rights to due process, equal protection, and to counsel by ordering her to be incarcerated in the Montgomery Municipal Jail for 54 days because of her inability to pay outstanding fines and fees on multiple traffic tickets.[SENTMARKER]The defendants' policy was to charge court costs on every individual ticket, as was done in Plaintiff’s cases, even if multiple tickets arise from the same incident.[SENTMARKER]The parties entered an Agreed Settlement Order in November 2014 that required the defendants to pay the plaintiff's attorney's fees and costs.[SENTMARKER]The district court denied the defendants' motion for certification, and the case was closed on November 17, 2014.[SENTMARKER]The parties filed a motion for declaratory and injunctive relief on August 28, 2013.[SENTMARKER]The parties agreed to settle the case in December 2014, and the parties entered a settlement agreement in April 2015.[SENTMARKER]The parties also agreed that the parties would not enforce the terms of the settlement agreement.[SENTMARKER]The case is closed."
2,"A prisoner facing the death penalty in Arkansas sued over the form of lethal injection used by the state.[SENTMARKER]The case was dismissed because of a lack of evidence that Arkansas's use of lethal injections subjected prisoners to a significant risk of pain.[SENTMARKER]The case is closed, and one of the three plaintiffs was executed in 2017.","On May 1, 2006, four death row inmates brought this action under 42 U.S.C.  1983 against the Arkansas Department of Correction, alleging that the state's lethal injection protocol for execution by lethal injection is unconstitutional.[SENTMARKER]The defendants moved to dismiss the action, and the district court granted the defendants' motion for summary judgment.[SENTMARKER]The district court then granted a stay of execution in order to allow the plaintiffs to litigate their challenge to the State's three-drug injection protocol.[SENTMARKER]On June 4, 2007, the United States Court of Appeals for the Eighth Circuit reversed and held that Missouri's written lethal injection protocols did not violate the Eighth Amendment Id.[SENTMARKER]The Supreme Court issued its decision in Baze v. Kentucky on April 16, 2008, and the case was closed on June 4, 2008.[SENTMARKER]The defendants appealed the decision to the U.N.[SENTMARKER]Supreme Court, which issued a final judgment in favor of the State on June 11, 2008.[SENTMARKER]The case is now closed and the parties have agreed to settle the case without further litigation."
3,"On August 23, 2018, three Maricopa County, Arizona residents who have been referred to Maricopa County's Marijuana Diversion program filed this class action lawsuit in the U.S. District Court for the District of Arizona, Phoenix Division.[SENTMARKER]The plaintiffs sought injunctive and monetary relief, claiming that the Maricopa County Attorney's Office and Treatment Assessment Screening Center jointly operated a marijuana possession diversion program that discriminated against the poor in violation of the Fourteenth Amendment, and led to unreasonable search and seizure in violation of the Fourth and Fourteenth Amendments.[SENTMARKER]The plaintiffs amended their complaint twice to include new named plaintiffs for the class.[SENTMARKER]The District Court denied the defendant's motions to dismiss the complaint, and discovery is ongoing both for class certification and the underlying claims.","On August 23, 2018, a group of Arizona residents filed a class action lawsuit in the U.S. District Court for the District of Arizona alleging that the County Attorney’s Office and the Treatment 23 Screening Center violated the Fourth and Fourteenth Amendments of the United States Constitution.[SENTMARKER]The complaint alleged that the defendants violated the rights of the plaintiffs by denying them access to a marijuana diversion program that was designed to punish the poor because of their poverty.[SENTMARKER]According to the complaint, the defendants denied the plaintiffs access to the diversion program because they could not afford to pay the fees necessary to complete it.[SENTMARKER]The plaintiffs sought monetary damages and injunctive relief.[SENTMARKER]The court granted the plaintiffs' motion for partial summary judgment on August 23, 2018.[SENTMARKER]The case is now closed."
4,"On March 8, 2006, the Pacific News Service filed a lawsuit under 42 U.S.C. § 1983 against the California Department of Corrections in the U.S. District Court for the Northern District of California.[SENTMARKER]The plaintiffs asked the court for declaratory and injunctive relief, alleging that the defendants had violated the constitutional rights of the press and the public to attend, meaningfully observe, and gather and report on important information at executions being carried out by the defendants at the California State Prison at San Quentin.[SENTMARKER]On May 30, 2013, the issue in this case became moot due to a state court decision.[SENTMARKER]In Sims v. California Department of Corrections and Rehabilitation (CDCR), the California Court of Appeals held that CDCR’s lethal injection regulations were invalid for failure to comply with the APA.[SENTMARKER]The court permanently enjoined CDCR from carrying out the execution of any condemned inmate by lethal injection until their new regulations complied with the Administrative Procedure Act.[SENTMARKER]This case closed after a voluntary dismissal filed by the plaintiff organization.","On January 13, 2006, Pacific News Service (PNS) filed a lawsuit in the U.S. District Court for the Northern District of California against the California Department of Corrections and Rehabilitation (CDCR) challenging the use of pancuronium bromide as part of the lethal injection protocol at San Quentin State Prison.[SENTMARKER]PNS alleged that the inclusion of the drug in the San Quentin protocol violated the First and Fourteenth Amendments of the United States Constitution.[SENTMARKER]On February 10, 2006, the 2 Court consolidated the two cases.[SENTMARKER]The parties agreed that one intended purpose and effect of the drugs was to induce paralysis.[SENTMARKER]The case is not a challenge to the death penalty or to all lethal injection executions, but rather the drug's use to conceal from the public possible manifestations of pain or other important information about the execution.[SENTMARKER]The 2 Court found that the drug was not a violation of the Eighth Amendment because it was not intended to cause paralysis, and the case was dismissed without prejudice without prejudice.[SENTMARKER]On August 13, 2010, the court ordered the CDCR to turn over its supply of sodium thiopental to the FDA.[SENTMARKER]The court also found that it had violated the law by failing to comply with the requirements of the California Administrative Procedures Act and the laws of the 4 United States and the 4th Amendment.[SENTMARKER]In a second amended complaint, PNS filed a motion for a declaratory judgment, which was granted on August 13, 2010.[SENTMARKER]The court found that there was no cause of action and dismissed the case without prejudice, finding that the defendants had complied with the law and the FDA's requirements.[SENTMARKER]The defendants then filed an amended motion to dismiss the case, which the court granted.[SENTMARKER]The second amended the case is now closed without prejudice and the parties agreed to settle the case."
5,"This civil rights class action was filed in 2012 in the Eastern District of California; it alleged due process violations when the state arbitrarily denied parole to nearly all lifers who had served their minimum sentence.[SENTMARKER]On October 2, 2015, the parties entered into an agreement by which the defendants agreed to make changes to the psychological risk assessment processes used by the parole board.[SENTMARKER]The Court approved the settlement in May 2016, and retained jurisdiction over the case until January 1, 2017, with the plaintiffs' able to get an extension of the Court's jurisdiction if the defendants fail to abide by the agreed upon terms.[SENTMARKER]In February of 2019, the court issued an order stating that the defendants had complied with the order.[SENTMARKER]The case is now closed.","On April 20, 2012, a class of California state prisoners filed this class action lawsuit in the U.N.[SENTMARKER]district court for the district of California.[SENTMARKER]The plaintiffs alleged that the Board of parole Hearings' (BPH) forensic assessment protocols for the preparation of psychological risk assessment reports to be considered in 23 determining prisoners’ suitability for parole made parole a virtual impossibility.[SENTMARKER]The parties entered into a settlement agreement in May 2015, which was approved by the district court on May 26, 2016.[SENTMARKER]The parties agreed that the BPH would not oppose a motion for reasonable attorney's fees and costs that does not exceed $120,000.[SENTMARKER]In addition, the parties agreed to the use of the Board's Forensic Assessment Division (FAD) for use in determining the suitability of 26 class members for parole.[SENTMARKER]The court granted the motion for summary judgment on June 12, 2014, and denied the defendants' motion for judgment on the pleadings on September 26, 2014.[SENTMARKER]The parties filed a joint status report on July 17, 2015, informing the court of substantial progress in settlement negotiations.[SENTMARKER]On August 11, 2015, the court approved the settlement agreement.[SENTMARKER]On June 12, 2016, the parties filed an amended motion for preliminary approval of the settlement, which was denied by the Ninth Circuit.[SENTMARKER]On July 17, 2016, the court entered a final judgment in favor of the parties.[SENTMARKER]The final judgment was granted in part and denied in part."
6,"In October 2018, a plaintiff sued Denver over its bond fee requirement.[SENTMARKER]Within a few months, the defendants changed their policy and submitted an Offer of Judgment.[SENTMARKER]The case is now closed.","In June of 2018, a man was arrested for alleged violations of municipal ordinances in Denver.[SENTMARKER]When a judge sets a monetary bond, Denver will release the defendant upon payment of that bond only if the defendant also pays a $50 bond fee in order to be released.[SENTMARKER]The man was detained in jail for five days because he was unable to pay the $50 fee.[SENTMARKER]The court ordered his release upon his payment of $10 and his submission to GPS monitoring.[SENTMARKER]On August 10, 2018, the court dismissed the case.[SENTMARKER]The case was transferred to the District Court for the District of Colorado, where it was assigned to Judge Scott T. Varholak.[SENTMARKER]The District Court granted the defendant's motion for summary judgment, finding that the defendant had not violated the Fourteenth Amendment due process clause.[SENTMARKER]The district court entered a final judgment in favor of the defendant in August 2018.[SENTMARKER]The defendant was ordered to pay a total of $30,000, including all reasonable costs and reasonable attorneys' fees."
7,"In 2012, U.S. District Court of D.C. found that the policy of seizing and retaining private vehicles pending civil forfeiture proceedings without providing a post-deprivation hearing was unconstitutional.","On May 1, 2012, the District of Columbia, the Chief of Police of the Metropolitan Police Department, and the District's Mayor filed this civil rights action in the United States District Court for the district of Columbia.[SENTMARKER]The plaintiff, Frederick Simms, was the owner of a car seized by the MPD on May 29, 2011, when he was accused of weapons violations.[SENTMARKER]He brought this action on behalf of himself and other property owners in the District who were subject to civil forfeiture proceedings.[SENTMARKER]He alleged that the District violated his Fifth Amendment due process rights by failing to provide him with a prompt post-deprivation hearing to challenge the legitimacy of the initial seizure and the validity of the subsequent retention of his car.[SENTMARKER]The parties agreed to dismiss this action with prejudice, and each party will bear its own costs and attorneys' fees.[SENTMARKER]The case is closed."
8,"On May 23, 2018, four individuals who had been ticketed or threatened to be ticketed by the City of Doraville filed this lawsuit in U.S. District Court for the Northern District of Georgia.[SENTMARKER]The case was assigned to Judge Richard W. Story.[SENTMARKER]Represented by Strickland Brockington Lewis, LLP, and the Institute for Justice, the plaintiffs sued the City of Doraville under 42 U.S.C. Section 1983 and the Declaratory Judgments Act.[SENTMARKER]The plaintiffs alleged that the city’s policy and practice of using its law enforcement and municipal court system for revenue generation violated the plaintiffs' due process rights.[SENTMARKER]The plaintiffs sought declarative and injunctive relief from Doraville’s policy and practice of budgeting to receive revenues from fines and fees.[SENTMARKER]The defendant sought to dismiss the case on July 2, 2018; the court denied the motion to dismiss on July 9, 2019.[SENTMARKER]This case is ongoing.","On April 1, 2019, the City of Doraville filed a motion to dismiss a lawsuit brought by four individuals who were cited for various violations of the city's law enforcement and municipal court system.[SENTMARKER]The City argued that the Court lacked subject matter jurisdiction and that the plaintiffs failed to state a claim as a matter of law.[SENTMARKER]The Court denied the City's motion for summary judgment, finding that it did indeed have jurisdiction.[SENTMARKER]The case is now before the Court again and the parties are scheduled to appear for a hearing on the proper standard of review."
9,"On May 22, 2012, several national and local news agencies filed a § 1983 lawsuit against the state of Idaho, alleging that the policy of the Idaho Department of Correction to prohibit public viewing of the preparatory phase of the execution process, during which the inmate is restrained and the IV is inserted, violates the First Amendment right to free speech and the Fourteenth Amendment right to due process.[SENTMARKER]The District Court denied plaintiffs' motion for a preliminary injunction on June 5, 2012, but the Ninth Circuit reversed the denial, on June 8, in time for the injunction to apply to the scheduled execution of Richard Leavitt.[SENTMARKER]On July 10, the District Court entered a permanent injunction ordering the Idaho Department of Corrections to modify their execution procedures to allow witnesses to the execution throughout the entire execution process.","On May 22, 2012, a coalition of media corporations filed this lawsuit against the State of Idaho in the United States District Court for the District of Idaho, seeking a preliminary injunction, a permanent injunction, and declaratory relief in response to alleged First Amendment violations.[SENTMARKER]The complaint alleged that Idaho's execution protocol conflicts with the law as set forth in the Preston-Nintl1 Circuit, and that the state's current protocol to effectuate a death warrant is lethal injection.[SENTMARKER]The parties agreed to a joint litigation plan to allow for discovery and a full evidentiary hearing on the request for permanent injunctive relief.[SENTMARKER]On June 5, 2012, the court granted the parties' motion for expedited briefing and ordered the parties to participate in mediation with Chief United States Magistrate Judge Candy W. Dale.[SENTMARKER]After the parties failed to reach a settlement agreement, the parties filed a motion for summary judgment, which was denied by the court on June 10, 2012.[SENTMARKER]On June 12, 2012, the parties entered into an agreement to settle the case.[SENTMARKER]The court granted summary judgment to the parties and granted the motion for a temporary injunction on June 12, 2012.[SENTMARKER]The parties then filed an amended motion for permanent injunction on July 10, 2012, which was granted by the Court on July 17, 2012.[SENTMARKER]On July 17, 2012, the case was dismissed.[SENTMARKER]The case is now closed and the parties have agreed not to file any further motions."
