,gold_sents,pegasus_output_sents
0,"The plaintiffs filed a lawsuit on March 8, 2014, alleging that the City of Montgomery, Alabama, improperly imprisoned them for failing to pay traffic fines.[SENTMARKER]They alleged that they did not have an ability to pay the fines due to their financial circumstances and that the city did not consider their ability to pay.[SENTMARKER]On May 1, 2014, the District Court granted the plaintiffs motion for a preliminary injunction, preventing the city from collecting more money from traffic tickets of plaintiffs'.[SENTMARKER]On October 31, 2014 the parties filed to dismiss the case pursuant to a settlement agreement, which included numerous changes to Municipal Court proceedings.[SENTMARKER]The case is now closed.","This case was brought in the U.S. District Court for the Middle District of Alabama against the City of Montgomery and Judicial Correction Services, Inc. (JCS), a private for-profit corporation, on behalf of people who were jailed by the City because they could not afford to pay their traffic ticket fees, costs, and surcharges.[SENTMARKER]The plaintiffs alleged that the City's policy of charging appeal bonds to those who cannot afford them violated their Fourteenth Amendment due process and equal protection rights by imprisoning them without conducting a meaningful inquiry into their ability to pay and by threatening to imprison them for failing to pay the balance on outstanding fines, fees, and costs associated with traffic tickets they incurred.[SENTMARKER]The parties entered into a settlement agreement on November 17, 2014.[SENTMARKER]The City agreed to refund the full amount owed to the City for the inability to pay a $50 fine, and to provide the plaintiffs with a copy of the settlement agreement.[SENTMARKER]The case was dismissed with prejudice, and the parties agreed that no one will be jailed again in the future for the failure to pay."
1,"In 2013, indigent detainee filed a complaint against the City of Montgomery and a Municipal Court Judge for unconstitutionally ordering the petitioner to serve time for her inability to pay court-order fines and fees for their traffic violations.[SENTMARKER]The complaint was originally filed in the Circuit Court of Montgomery County, Alabama and then transferred to the U.S. District Court for the Middle District of Alabama, where it was consolidated with a similar case.[SENTMARKER]In the amended complaint, petitioners alleged that the imprisonment orders violated their Sixth and Fourteenth Amendment Rights.[SENTMARKER]Petitioners sought remedy through injunctive and declaratory relief.[SENTMARKER]In 2014, the parties reached a settlement that provided new judicial procedures for the Municipal Court to follow regarding indigent defendants and nonpayment.[SENTMARKER]It also included three declarations, most importantly, it declared that the constitutional principles set out in Bearden v. Georgia, 461 U.S. 660 (1983), and Turner v. Rogers, 131 S. Ct. 2507 (2011) applied to municipal court proceedings, and awarded plaintiff's attorney fees.[SENTMARKER]The case closed in November 2014.","On August 28, 2013, a woman filed this suit in the U.S. District Court for the Middle District of Alabama against the City of Montgomery, the Montgomery Municipal Court, and Judicial Correction Services, a private probation company.[SENTMARKER]The plaintiff alleged that the defendants violated her constitutional rights to due process, equal protection, and to counsel by ordering her to be incarcerated in the municipal jail for 54 days because she was unable to pay her traffic ticket fines and court costs.[SENTMARKER]The plaintiffs also alleged that they were illegally jailed for their inability to pay outstanding fines, fees, and costs, in violation of the Fourteenth and Sixth Amendments to the United States Constitution and the Alabama Constitution, and Rule 26.11 of the Alabama Rules of Criminal Procedure.[SENTMARKER]The parties entered a settlement agreement in November 2014 that required the defendants to pay the plaintiff's attorney's fees and costs.[SENTMARKER]In addition, the parties agreed that the municipal court should not have a policy requiring incarceration when individuals cannot pay their fines.[SENTMARKER]The case is closed."
2,"A prisoner facing the death penalty in Arkansas sued over the form of lethal injection used by the state.[SENTMARKER]The case was dismissed because of a lack of evidence that Arkansas's use of lethal injections subjected prisoners to a significant risk of pain.[SENTMARKER]The case is closed, and one of the three plaintiffs was executed in 2017.","On May 1, 2006, four Arkansas death row inmates brought this action under 42 U.S.C.  1983 challenging the constitutionality of the state's lethal injection protocol for execution by lethal injection.[SENTMARKER]The plaintiffs claimed that the Arkansas Department of Correction's protocol presents an unnecessary risk of conscious suffering and extreme pain, amounting to cruel and unusual punishment prohibited under the Eighth Amendment.[SENTMARKER]On June 12, 2006, the Supreme Court issued a unanimous decision in Hill v. McDonough, ruling that a Florida death row inmate, Clarence I-Iill, may challenge Florida's three-drug injection protocol, which is similar to the Arkansas protocol, as well as its use of this protocol demonstrates deliberate indignities to the plaintiffs' serious medical needs.[SENTMARKER]The district court granted a stay of execution in order to permit the plaintiffs to litigate their challenge to the lethal injection protocols.[SENTMARKER]On August 9, 2007, the district court ordered the case consolidated with a similar lawsuit filed by Don William Davis.[SENTMARKER]The parties referred to the set of execution instructions he has developed.[SENTMARKER]The case was dismissed on June 19, 2006, and the parties filed a motion for summary judgment on May 1, 2006.[SENTMARKER]On May 22, 2008, the parties moved to reopen their case and the court granted the A DC's motion to dismiss the case without prejudice.[SENTMARKER]On July 11, 2008, the court dismissed the case with prejudice and terminated the case.[SENTMARKER]On November 9, 2008, the case was closed."
3,"On August 23, 2018, three Maricopa County, Arizona residents who have been referred to Maricopa County's Marijuana Diversion program filed this class action lawsuit in the U.S. District Court for the District of Arizona, Phoenix Division.[SENTMARKER]The plaintiffs sought injunctive and monetary relief, claiming that the Maricopa County Attorney's Office and Treatment Assessment Screening Center jointly operated a marijuana possession diversion program that discriminated against the poor in violation of the Fourteenth Amendment, and led to unreasonable search and seizure in violation of the Fourth and Fourteenth Amendments.[SENTMARKER]The plaintiffs amended their complaint twice to include new named plaintiffs for the class.[SENTMARKER]The District Court denied the defendant's motions to dismiss the complaint, and discovery is ongoing both for class certification and the underlying claims.","On August 23, 2018, a group of Arizona residents filed a class action lawsuit in the U.S. District Court for the District of Arizona against the Maricopa County Attorney's Office (MCAO) and the Treatment 23 Assessment Screening Center (TASC) alleging violations of the Fourth and Fourteenth Amendments of the United States Constitution.[SENTMARKER]The plaintiffs alleged that the defendants jointly operate a possession of marijuana diversion program that penalizes the poor because of their poverty.[SENTMARKER]They alleged that they were forced to submit to drug and alcohol testing after 90 days in the program if the sole reason they remain on the program is that they cannot afford to pay the fees necessary to complete it.[SENTMARKER]The court granted the plaintiffs' motion for summary judgment and ordered the defendants to pay monetary damages and injunctive relief.[SENTMARKER]The case is now closed."
4,"On March 8, 2006, the Pacific News Service filed a lawsuit under 42 U.S.C. § 1983 against the California Department of Corrections in the U.S. District Court for the Northern District of California.[SENTMARKER]The plaintiffs asked the court for declaratory and injunctive relief, alleging that the defendants had violated the constitutional rights of the press and the public to attend, meaningfully observe, and gather and report on important information at executions being carried out by the defendants at the California State Prison at San Quentin.[SENTMARKER]On May 30, 2013, the issue in this case became moot due to a state court decision.[SENTMARKER]In Sims v. California Department of Corrections and Rehabilitation (CDCR), the California Court of Appeals held that CDCR’s lethal injection regulations were invalid for failure to comply with the APA.[SENTMARKER]The court permanently enjoined CDCR from carrying out the execution of any condemned inmate by lethal injection until their new regulations complied with the Administrative Procedure Act.[SENTMARKER]This case closed after a voluntary dismissal filed by the plaintiff organization.","On January 13, 2006, Pacific News Service (PNS) filed this lawsuit in the U.S. District Court for the Northern District of California against the California Department of Corrections and Rehabilitation (CDCR) challenging the inclusion of pancuronium bromide in San Quentin's lethal injection protocol.[SENTMARKER]PNS alleged that the use of the 23 second drug in the lethal injection cocktail, paralyzes all movement of the inmate's 24 muscle fibers.[SENTMARKER]The parties agreed, however, that one intended purpose and effect of the drug is to induce paralysis.[SENTMARKER]The case is not a challenge to the death penalty or to all lethal injection executions in California, but rather a First and Fourteenth Amendment right to attend and witness important public proceedings in the context of an execution.[SENTMARKER]On February 10, 2006, the 2 Court consolidated the two cases, and the parties agreed that the case should be dismissed without prejudice.[SENTMARKER]On August 13, 2010, the court ordered the CDCR to turn over its supply of sodium thiopental to the FDA.[SENTMARKER]The CDCR has since complied with the court's order and the case is closed."
5,"This civil rights class action was filed in 2012 in the Eastern District of California; it alleged due process violations when the state arbitrarily denied parole to nearly all lifers who had served their minimum sentence.[SENTMARKER]On October 2, 2015, the parties entered into an agreement by which the defendants agreed to make changes to the psychological risk assessment processes used by the parole board.[SENTMARKER]The Court approved the settlement in May 2016, and retained jurisdiction over the case until January 1, 2017, with the plaintiffs' able to get an extension of the Court's jurisdiction if the defendants fail to abide by the agreed upon terms.[SENTMARKER]In February of 2019, the court issued an order stating that the defendants had complied with the order.[SENTMARKER]The case is now closed.","On April 20, 2012, a class of California state prisoners filed this class action lawsuit in the U.S. District Court for the Eastern District of California against the Board of Parole Hearings (BPH), the Executive Officer of the BPH, and the Secretary of the California Department of Corrections and Rehabilitation.[SENTMARKER]The plaintiffs alleged that BPH's forensic assessment protocols for the preparation of psychological risk assessment reports to be considered in 23 determining prisoners' suitability for parole were unconstitutional.[SENTMARKER]The parties entered into a settlement agreement on May 14, 2015, which was approved by the court on May 26, 2016.[SENTMARKER]The parties agreed to pay $120,000 in attorney's fees and costs that does not exceed $120,000.[SENTMARKER]In addition, the parties agreed not to oppose a motion for summary judgment on the class pleadings.[SENTMARKER]The court granted the parties' motion for preliminary approval of the settlement on July 17, 2015, and the parties filed a joint status report informing the court of substantial progress in settlement negotiations on August 11, 2015.[SENTMARKER]The parties are continuing to work on the settlement agreement."
6,"In October 2018, a plaintiff sued Denver over its bond fee requirement.[SENTMARKER]Within a few months, the defendants changed their policy and submitted an Offer of Judgment.[SENTMARKER]The case is now closed.","In June of this year, a Denver resident was arrested for alleged violations of municipal ordinances and was detained in jail for five days solely because he could not pay a $50 bond fee.[SENTMARKER]The plaintiff filed this lawsuit in the U.S. District Court for the District of Colorado against the City and County of Denver, Colorado, and the Denver Sheriff's Office.[SENTMARKER]The complaint alleged that Denver's policy of detaining a person solely because of his inability to pay a bond fee violated the Fourteenth Amendment's due process and equal protection provisions.[SENTMARKER]The court granted the plaintiff's motion for summary judgment, finding that Denver had not violated the defendant's constitutional rights by detaining Mr. Howard because he was unable to pay the bond fee, and that the defendant was not required to release him on the conditions set by the court.[SENTMARKER]The case was dismissed on September 20, 2018.[SENTMARKER]The plaintiff was released on August 10, 2018.[SENTMARKER]The case is now closed."
7,"In 2012, U.S. District Court of D.C. found that the policy of seizing and retaining private vehicles pending civil forfeiture proceedings without providing a post-deprivation hearing was unconstitutional.","On May 1, 2012, a Washington, D.C. resident filed this civil rights action in the U.S. District Court for the District of Columbia, alleging that the District's policy of seizing private vehicles and retaining them indefinitely pending potential civil forfeiture proceedings violated his Fifth Amendment rights.[SENTMARKER]The complaint alleged that the defendants failed to provide a prompt post-deprivation hearing to challenge the legitimacy of the initial seizure and the validity of the district's continued retention of the vehicle pending any forfeiture litigation.[SENTMARKER]The parties agreed to dismiss this action with prejudice, and each party will bear its own costs and attorneys' fees."
8,"On May 23, 2018, four individuals who had been ticketed or threatened to be ticketed by the City of Doraville filed this lawsuit in U.S. District Court for the Northern District of Georgia.[SENTMARKER]The case was assigned to Judge Richard W. Story.[SENTMARKER]Represented by Strickland Brockington Lewis, LLP, and the Institute for Justice, the plaintiffs sued the City of Doraville under 42 U.S.C. Section 1983 and the Declaratory Judgments Act.[SENTMARKER]The plaintiffs alleged that the city’s policy and practice of using its law enforcement and municipal court system for revenue generation violated the plaintiffs' due process rights.[SENTMARKER]The plaintiffs sought declarative and injunctive relief from Doraville’s policy and practice of budgeting to receive revenues from fines and fees.[SENTMARKER]The defendant sought to dismiss the case on July 2, 2018; the court denied the motion to dismiss on July 9, 2019.[SENTMARKER]This case is ongoing.","In August 2016, a group of citizens filed this lawsuit in the U.S. District Court for the Northern District of Georgia against the City of Doraville, Georgia, alleging that the city's policy and practice of using its law enforcement and municipal court system for revenue generation violated their Fourteenth Amendment rights.[SENTMARKER]The plaintiffs sought injunctive and declaratory relief, seeking nominal damages and injunctive relief.[SENTMARKER]The City moved to dismiss the case, arguing that the Court lacked subject matter jurisdiction and that the plaintiffs failed to state a claim as a matter of law.[SENTMARKER]On April 1, 2019, the Court denied the City's motion for summary judgment, finding that it did indeed have jurisdiction to proceed with the case.[SENTMARKER]On September 4, 2020, the Court granted the defendants' motion for partial summary judgment and denied the plaintiffs' request for a permanent injunction.[SENTMARKER]The case is now closed."
9,"On May 22, 2012, several national and local news agencies filed a § 1983 lawsuit against the state of Idaho, alleging that the policy of the Idaho Department of Correction to prohibit public viewing of the preparatory phase of the execution process, during which the inmate is restrained and the IV is inserted, violates the First Amendment right to free speech and the Fourteenth Amendment right to due process.[SENTMARKER]The District Court denied plaintiffs' motion for a preliminary injunction on June 5, 2012, but the Ninth Circuit reversed the denial, on June 8, in time for the injunction to apply to the scheduled execution of Richard Leavitt.[SENTMARKER]On July 10, the District Court entered a permanent injunction ordering the Idaho Department of Corrections to modify their execution procedures to allow witnesses to the execution throughout the entire execution process.","On May 22, 2012, a coalition of media corporations filed this lawsuit in the U.S. District Court for the District of Idaho against the State of Idaho, the Idaho Department of Corrections (IDOC), and the Idaho Board of Corrections.[SENTMARKER]The plaintiffs sought a preliminary injunction, a permanent injunction, and declaratory relief in response to alleged First Amendment violations by the IDOC regarding the procedures or protocol used by IDOC for death penalty executions.[SENTMARKER]The parties agreed to a joint litigation plan for the Court’s consideration to allow for discovery and a full evidentiary hearing on the request for permanent injunctive relief.[SENTMARKER]On June 5, 2012, the District Court granted the parties' motion for expedited briefing and ordered the parties to participate in mediation with Chief United States Magistrate Judge Candy W. Dale.[SENTMARKER]The District Court denied the parties’ motion for preliminary injunction and remanded the case to the Ninth Circuit Court of Appeals for further proceedings.[SENTMARKER]The Ninth Circuit reversed the district court's denial of the preliminary injunction.[SENTMARKER]The case is closed."
