,gold_sents,pegasus_output_sents,oreo_pegasus_output_sents
0,"The plaintiffs filed a lawsuit on March 8, 2014, alleging that the City of Montgomery, Alabama, improperly imprisoned them for failing to pay traffic fines.[SENTMARKER]They alleged that they did not have an ability to pay the fines due to their financial circumstances and that the city did not consider their ability to pay.[SENTMARKER]On May 1, 2014, the District Court granted the plaintiffs motion for a preliminary injunction, preventing the city from collecting more money from traffic tickets of plaintiffs'.[SENTMARKER]On October 31, 2014 the parties filed to dismiss the case pursuant to a settlement agreement, which included numerous changes to Municipal Court proceedings.[SENTMARKER]The case is now closed.","Montgomery, Alabama ORG | City of Montgomery ORG| Judicial Correction Services, Inc.<n>Lawsuit was filed in the United States District Court for the Middle District of Alabama on December 2, 2013 by two residents of Montgomery who were imprisoned for failing to pay a debt owed to the City.[SENTMARKER]The plaintiffs alleged that the defendants violated their due process and equal protection rights by using a private for-profit corporation to collect the debts owed by people who could not afford to pay their traffic ticket fees, costs, and surcharges immediately.[SENTMARKER]The parties agreed to dismiss the case with prejudice.[SENTMARKER]The case is closed.","January 26, 2014 Montgomery, Alabama ORG | Montgomery City Police Department ORG| Montgomery City PD ORG [CONTRACTED] On January 26, 2014, a Montgomery resident and her two children filed this lawsuit against the City of Montgomery in the United States District Court for the Middle District of Alabama.[SENTMARKER]The Plaintiff, a 23-year-old mother and mother-of-two, claimed that the City was violating her right to due process by ordering her to jail for nonpayment of a $50 traffic ticket.[SENTMARKER]The City did not hold any inquiry into her ability to pay prior to jailing her in a cursory hearing at which she was not represented by an attorney.[SENTMARKER]In the days after the May 1 order of this Court, the City repeatedly refused to comply with the terms of the settlement agreement.[SENTMARKER]The Court ordered the City to pay the Plaintiff's fine and court costs in full."
1,"In 2013, indigent detainee filed a complaint against the City of Montgomery and a Municipal Court Judge for unconstitutionally ordering the petitioner to serve time for her inability to pay court-order fines and fees for their traffic violations.[SENTMARKER]The complaint was originally filed in the Circuit Court of Montgomery County, Alabama and then transferred to the U.S. District Court for the Middle District of Alabama, where it was consolidated with a similar case.[SENTMARKER]In the amended complaint, petitioners alleged that the imprisonment orders violated their Sixth and Fourteenth Amendment Rights.[SENTMARKER]Petitioners sought remedy through injunctive and declaratory relief.[SENTMARKER]In 2014, the parties reached a settlement that provided new judicial procedures for the Municipal Court to follow regarding indigent defendants and nonpayment.[SENTMARKER]It also included three declarations, most importantly, it declared that the constitutional principles set out in Bearden v. Georgia, 461 U.S. 660 (1983), and Turner v. Rogers, 131 S. Ct. 2507 (2011) applied to municipal court proceedings, and awarded plaintiff's attorney fees.[SENTMARKER]The case closed in November 2014.","On August 28, 2013, a woman filed this suit in the Circuit Court of Montgomery County against the City of Montgomery and the city's municipal court for violating her constitutional rights to due process, equal protection, and due process.[SENTMARKER]The plaintiff was unable to find full-time employment since she was laid off from her job at a day care center in 2009 and filed for bankruptcy in June 2013.[SENTMARKER]The city and the other defendants agreed to stay the municipal-court orders of incarceration and the collection of outstanding debts pending discovery and collection of all amounts owed by the plaintiff.[SENTMARKER]The case was closed on November 17, 2014.","On August 28, 2013, a resident of Montgomery, Alabama sued the City of Montgomery and the Judges of the Municipal Court, alleging that the defendants' policies and practices of incarceration for non-payment violated the Due Process Clause and Equal Protection Clause of the Sixth Amendment of the United States Constitution.[SENTMARKER]The defendants agreed to a stay of the municipal-court orders of incarceration and the collection of outstanding debts pending discovery in this matter.[SENTMARKER]The parties also agreed to provide the court with a form that solicits relevant financial information."
2,"A prisoner facing the death penalty in Arkansas sued over the form of lethal injection used by the state.[SENTMARKER]The case was dismissed because of a lack of evidence that Arkansas's use of lethal injections subjected prisoners to a significant risk of pain.[SENTMARKER]The case is closed, and one of the three plaintiffs was executed in 2017.","This is a civil rights lawsuit brought by three Arkansas prisoners who were convicted of capital murder and sentenced to death.[SENTMARKER]The prisoners challenge the Arkansas lethal injection protocol for lethal injection.[SENTMARKER]The plaintiffs claim that the protocol is unconstitutional in violation of the Eighth Amendment’s ban on cruel and unusual punishment.[SENTMARKER]The defendants moved to dismiss the action, and that Motion was denied by this Court on June 19, 2006.[SENTMARKER]On April 16, 2008, the Supreme Court issued its decision in Baze v. Norris, upholding Kentucky’s lethal injection protocols.","This is a civil rights lawsuit brought by three Arkansas prisoners who were convicted of capital murder and sentenced to death.[SENTMARKER]The prisoners alleged that the state's three-chemical lethal injection protocol is unconstitutional in violation of the Eighth Amendment's ban on cruel and unusual punishment.[SENTMARKER]The court granted the defendants' motion for summary judgment, finding that Arkansas's protocol is substantially similar to the protocols approved in Taylor and Baze."
3,"On August 23, 2018, three Maricopa County, Arizona residents who have been referred to Maricopa County's Marijuana Diversion program filed this class action lawsuit in the U.S. District Court for the District of Arizona, Phoenix Division.[SENTMARKER]The plaintiffs sought injunctive and monetary relief, claiming that the Maricopa County Attorney's Office and Treatment Assessment Screening Center jointly operated a marijuana possession diversion program that discriminated against the poor in violation of the Fourteenth Amendment, and led to unreasonable search and seizure in violation of the Fourth and Fourteenth Amendments.[SENTMARKER]The plaintiffs amended their complaint twice to include new named plaintiffs for the class.[SENTMARKER]The District Court denied the defendant's motions to dismiss the complaint, and discovery is ongoing both for class certification and the underlying claims.","In November 2016, a group of residents of Maricopa County, Arizona filed a civil rights class action lawsuit in the U.S. District Court for the District of Arizona against the county attorney's office, the treatment center, and the county's policymaker for marijuana diversion programs.[SENTMARKER]The plaintiffs alleged that the defendants violated the plaintiffs' constitutional rights by imposing unconstitutional fees and penalties on them for participating in the marijuana diversion program.[SENTMARKER]According to the complaint, the defendants made nearly $15 million in fees from 3 participants in the diversion program between 2006 and 2016.[SENTMARKER]The plaintiffs' counsel successfully litigated a number of other class action cases involving unconstitutional penalties based solely on wealth status.[SENTMARKER]The case is now closed.","On August 23, 2018, a group of residents of Maricopa County, Arizona filed a class action lawsuit against the County, the County Attorney's Office, and the County Treatment Assessment Screening Center (TASC) alleging that the defendants violated the Fourteenth and Fourth Amendments by denying them access to the MCAO and TASC marijuana diversion programs.[SENTMARKER]The plaintiffs alleged that they were denied entry into the diversion programs because they were not wealthy enough to pay the required program fees within 90 days and/or at the rate required by TASC.[SENTMARKER]The Court denied the defendants' motion to dismiss, finding that the plaintiffs had not shown that they could prove any of the facts which would entitle them to relief.[SENTMARKER]The case is now closed."
4,"On March 8, 2006, the Pacific News Service filed a lawsuit under 42 U.S.C. § 1983 against the California Department of Corrections in the U.S. District Court for the Northern District of California.[SENTMARKER]The plaintiffs asked the court for declaratory and injunctive relief, alleging that the defendants had violated the constitutional rights of the press and the public to attend, meaningfully observe, and gather and report on important information at executions being carried out by the defendants at the California State Prison at San Quentin.[SENTMARKER]On May 30, 2013, the issue in this case became moot due to a state court decision.[SENTMARKER]In Sims v. California Department of Corrections and Rehabilitation (CDCR), the California Court of Appeals held that CDCR’s lethal injection regulations were invalid for failure to comply with the APA.[SENTMARKER]The court permanently enjoined CDCR from carrying out the execution of any condemned inmate by lethal injection until their new regulations complied with the Administrative Procedure Act.[SENTMARKER]This case closed after a voluntary dismissal filed by the plaintiff organization.","On January 18, 2006, Pacific News Service filed a lawsuit in the U.S. District Court for the Northern District of California against the California Department of Corrections and Rehabilitation, San Quentin State Prison, and the warden of San Quentin, alleging that California's lethal injection protocol violated the First Amendment right of the press and the public to attend, report, gather important information at, and report on executions.[SENTMARKER]On February 10, 2006, the case was consolidated in the 2 Court for exhaustion purposes.[SENTMARKER]On March 16, 2006, the court dismissed the case without prejudice.","On December 16, 2006, a news organization filed this suit in the U.N.[SENTMARKER]District Attorney's Office for the District of Northern California against the California Department of Corrections and Rehabilitation and the California State Prison at San Quentin.[SENTMARKER]The media organization claimed that the state's lethal injection protocol violated the First and Fourteenth Amendments of the United States Constitution.[SENTMARKER]The court granted the media organization's motion for summary judgment, and the case was dismissed.[SENTMARKER]In August 2012, the court entered a final judgment in favor of the plaintiffs."
5,"This civil rights class action was filed in 2012 in the Eastern District of California; it alleged due process violations when the state arbitrarily denied parole to nearly all lifers who had served their minimum sentence.[SENTMARKER]On October 2, 2015, the parties entered into an agreement by which the defendants agreed to make changes to the psychological risk assessment processes used by the parole board.[SENTMARKER]The Court approved the settlement in May 2016, and retained jurisdiction over the case until January 1, 2017, with the plaintiffs' able to get an extension of the Court's jurisdiction if the defendants fail to abide by the agreed upon terms.[SENTMARKER]In February of 2019, the court issued an order stating that the defendants had complied with the order.[SENTMARKER]The case is now closed.","On April 20, 2012, a class action lawsuit was filed in the U.S. District Court for the Eastern District of California against the California Board of Parole Hearings, the Executive Officer of the Board, and the Secretary of the California Department of Corrections and Rehabilitation.[SENTMARKER]The plaintiffs alleged that the Board's forensic assessment protocols for use in the preparation of psychological evaluations to be considered in determining the suitability of 26 class members for parole violated the Constitution of the United States and the Fourteenth Amendment to the Constitution.[SENTMARKER]The parties reached a settlement on June 12, 2014, which was approved by the court on July 17, 2015.[SENTMARKER]The parties have jointly moved the court to approve the settlement agreement, which is subject to court approval.","On April 20, 2012, a class action lawsuit was filed in the U.S. District Court for the Eastern District of California against the State of California and the Forensic Assessment Division (FAD) of the Board of Parole Hearings (Board) for the use of three risk assessment tools to evaluate the suitability of life inmates for 25 parole.[SENTMARKER]The plaintiffs alleged that the FAD's use of these three tools violated the due process and equal protection clauses of the state and federal Constitutions.[SENTMARKER]The parties entered into a settlement agreement in May 2016.[SENTMARKER]The parties disagree about the reliability of the tools for use with California’s life 26 inmate population.[SENTMARKER]The court granted the parties' motion for final approval of the settlement agreement on May 26, 2016."
6,"In October 2018, a plaintiff sued Denver over its bond fee requirement.[SENTMARKER]Within a few months, the defendants changed their policy and submitted an Offer of Judgment.[SENTMARKER]The case is now closed.","Denver City and County of Denver v. Mickey Howard, August 10, 2018 || Denver's policy and practice of requiring defendants to pay a bond fee in order to secure pretrial release from jail.[SENTMARKER]The defendant was able to pay the $10 bond and agreed to GPS monitoring.[SENTMARKER]Denver, however, refused to release him on the conditions set by the court.[SENTMARKER]Instead, Denver required the defendant to pay an additional $50 bond fee.[SENTMARKER]The court dismissed the case, but Denver continued to collect the bond fee and sought additional money from the defendant.[SENTMARKER]The case was dismissed, and the defendant filed a motion for summary judgment, which was denied.","On October 10, 2018, the ACLU of Colorado filed this lawsuit against the city of Denver and the county of Denver in the U.S. District Court for the District of Colorado.[SENTMARKER]The plaintiff, a resident of Colorado, alleged that Denver's policy and practice of charging a $50 bond fee for all pretrial bonds violated his constitutional rights.[SENTMARKER]The court granted the plaintiff's motion for summary judgment, finding that the bond fee was not required by the Denver ordinance and that the defendant did not have a policy to detain defendants unable to pay the fee."
7,"In 2012, U.S. District Court of D.C. found that the policy of seizing and retaining private vehicles pending civil forfeiture proceedings without providing a post-deprivation hearing was unconstitutional.","On May 1, 2012, a public defender filed a civil forfeiture action in the U.S. District Court for the District of Washington against the District, the District Attorney, and the District Police Department.[SENTMARKER]The plaintiff alleged that the District's policy that forces indigent property owners to pay a ""penal sum"" before even being able to commence the legal process to challenge the police seizure of their property violates his right to due process under the Fifth Amendment to the United States Constitution.[SENTMARKER]The court granted the plaintiff's motion for a preliminary injunction.[SENTMARKER]The parties agreed to dismiss this action with prejudice, and each party will bear its own costs and attorneys' fees.","On October 2, 2014, a man filed this suit in the U.S. District Court for the District of Columbia, alleging that the Metropolitan Police Department's policy of seizing private vehicles and retaining them indefinitely pending civil forfeiture proceedings violated his constitutional rights.[SENTMARKER]The suit alleged that the MPD did not provide property owners with a prompt, post-deprivation hearing before a neutral arbiter.[SENTMARKER]The case was dismissed by the Court of Appeals for the DC Circuit, and the Supreme Court ruled that neither delay violated the property owners' rights."
8,"On May 23, 2018, four individuals who had been ticketed or threatened to be ticketed by the City of Doraville filed this lawsuit in U.S. District Court for the Northern District of Georgia.[SENTMARKER]The case was assigned to Judge Richard W. Story.[SENTMARKER]Represented by Strickland Brockington Lewis, LLP, and the Institute for Justice, the plaintiffs sued the City of Doraville under 42 U.S.C. Section 1983 and the Declaratory Judgments Act.[SENTMARKER]The plaintiffs alleged that the city’s policy and practice of using its law enforcement and municipal court system for revenue generation violated the plaintiffs' due process rights.[SENTMARKER]The plaintiffs sought declarative and injunctive relief from Doraville’s policy and practice of budgeting to receive revenues from fines and fees.[SENTMARKER]The defendant sought to dismiss the case on July 2, 2018; the court denied the motion to dismiss on July 9, 2019.[SENTMARKER]This case is ongoing.","In August 2016, a group of residents of Doraville, Georgia filed this civil rights lawsuit in the United States District Court for the Northern district of Georgia.[SENTMARKER]The plaintiffs alleged that by relying on its municipal courts, prosecutors, and law enforcement officers to generate revenue, Doraville has created impermissible financial incentives for those civil servants, thus violating the Due Process Clause of the Fourteenth Amendment.[SENTMARKER]On April 1, 2019, the Court denied Doraville’s motion to dismiss, finding that it did indeed have jurisdiction.[SENTMARKER]The Court went on, however, to grant a reconsideration (sua sponte) on the Rule 12(b)(6) portion of the motion and invited supplemental briefing from the parties to address which standard of review should guide the Court’s analysis and define the parameters of this case, should it move forward.","The U.S. District Court for the Northern District of Georgia granted the City of Doraville's motion to dismiss a lawsuit brought by four residents who claimed that the city's policy and practice of budgeting for fines, fees, and forfeitures revenue, and vigorously ticketing and convicting both residents and passers-through in order to raise revenue, violated their due process rights under the Fourteenth Amendment of the United States Constitution.[SENTMARKER]The case is now before the Court on Doraville’s Motion to Dismiss [15]"
9,"On May 22, 2012, several national and local news agencies filed a § 1983 lawsuit against the state of Idaho, alleging that the policy of the Idaho Department of Correction to prohibit public viewing of the preparatory phase of the execution process, during which the inmate is restrained and the IV is inserted, violates the First Amendment right to free speech and the Fourteenth Amendment right to due process.[SENTMARKER]The District Court denied plaintiffs' motion for a preliminary injunction on June 5, 2012, but the Ninth Circuit reversed the denial, on June 8, in time for the injunction to apply to the scheduled execution of Richard Leavitt.[SENTMARKER]On July 10, the District Court entered a permanent injunction ordering the Idaho Department of Corrections to modify their execution procedures to allow witnesses to the execution throughout the entire execution process.","On May 22, 2012, a group of individuals representing the media filed this lawsuit in the United States District Court for the District of Idaho against the State of Idaho.[SENTMARKER]The plaintiffs alleged that the state's execution protocol violated the First Amendment and sought a preliminary injunction, a permanent injunction, and declaratory relief in response to alleged First Amendment violations by the IDOC.[SENTMARKER]The defendants filed their response on May 29, 2012 and a supplement on May 30, 2012.[SENTMARKER]The parties entered into a Stipulation which was approved by the Court on July 10, 2012.","On July 10, 2012, the U.S. District Court for the District of Idaho entered a permanent injunction against the State of Idaho in response to a First Amendment lawsuit brought by two death row inmates.[SENTMARKER]The plaintiffs alleged that the state's procedures for the execution of condemned inmates prevent the public, members of the media, and other witnesses from viewing the entirety of the execution process prior to actual administration of the lethal injection.[SENTMARKER]The court granted the plaintiffs' motion for a preliminary injunction and ordered the defendants to modify their procedures to allow the witnesses to see the execution from the time the inmate enters the execution chamber through to and including the time he is declared dead."
