NODELIST    PARTITION     GRES                                               STATE    TIMESTAMP            REASON                                                                         FREE_MEM/MEMORY     CPUS(A/I/O/T)  CPU_LOAD
crannog01   PGR-Standard  gpu:a40:4                                          mixed    Unknown              none                                                                           484368/515615       2/62/0/64      0.94
crannog02   PGR-Standard  gpu:a40:4                                          idle     Unknown              none                                                                           502700/515615       0/64/0/64      0.05
crannog03   PGR-Standard  gpu:a40:4                                          idle     Unknown              none                                                                           503254/515615       0/64/0/64      0.00
crannog04   PGR-Standard  gpu:a40:4                                          drained  2023-06-30T11:00:49  NHC: check_ps_service:  Service sshd (process sshd) owned by root not running   start in progress  501640/515615  0/0/64/64  0.03
crannog05   PGR-Standard  gpu:a40:4                                          drained  2023-06-30T11:00:49  NHC: check_ps_service:  Service sshd (process sshd) owned by root not running   start in progress  503082/515615  0/0/64/64  0.00
crannog06   PGR-Standard  gpu:a40:4                                          drained  2023-06-15T18:13:27  not yet in service                                                             503086/515615       0/0/64/64      0.04
crannog07   PGR-Standard  gpu:a40:4(S:0-1)                                   drained  2023-06-15T18:13:27  not yet in service                                                             502968/515615       0/0/64/64      0.00



damnii01    PGR-Standard  gpu:gtx-2080ti:8                                   down*    2023-06-26T11:10:10  Not responding                                                                 N/A/190000          0/0/20/20      N/A
damnii02    PGR-Standard  gpu:gtx-2080ti:8                                   mixed    Unknown              none                                                                           174147/190000       4/16/0/20      2.57
damnii03    PGR-Standard  gpu:gtx-2080ti:8                                   mixed    Unknown              none                                                                           161657/190000       12/8/0/20      3.08
damnii04    PGR-Standard  gpu:gtx-2080ti:8                                   idle     Unknown              none                                                                           173112/190000       0/20/0/20      0.02
damnii05    PGR-Standard  gpu:gtx-2080ti:8                                   mixed    Unknown              none                                                                           91367/190000        8/12/0/20      7.67
damnii06    PGR-Standard  gpu:gtx-2080ti:8                                   mixed    Unknown              none                                                                           9495/190000         16/4/0/20      15.57
damnii07    PGR-Standard  gpu:gtx-2080ti:8                                   mixed    Unknown              none                                                                           158442/190000       12/8/0/20      6.18
damnii08    PGR-Standard  gpu:gtx-2080ti:8                                   mixed    Unknown              none                                                                           12036/190000        16/4/0/20      15.29
damnii09    PGR-Standard  gpu:gtx-2080ti:8                                   idle     Unknown              none                                                                           176777/190000       0/20/0/20      0.04
damnii10    PGR-Standard  gpu:gtx-2080ti:7                                   idle     Unknown              none                                                                           184521/190000       0/20/0/20      0.01
damnii11    PGR-Standard  gpu:gtx-2080ti:8                                   idle     Unknown              none                                                                           184973/190000       0/20/0/20      0.05
damnii12    PGR-Standard  gpu:gtx-2080ti:8                                   idle     Unknown              none                                                                           185624/190000       0/20/0/20      0.00


landonia01  Teach-Intera  gpu:titan-x:3,gpu:gtx-1060:2                       idle     Unknown              none                                                                           85143/96000         0/12/0/12      0.04
